_I_E_,_N_S_,_T_F_,_J_P_,Best in Class:,Overall Best
Decision Tree: Features: 42 Accuracy: 0.72,Decision Tree: Features: 44 Accuracy: 0.78,Decision Tree: Features: 44 Accuracy: 0.76,Decision Tree: Features: 39 Accuracy: 0.7,Decision Tree: 0.29877119999999996,0.3589760000000001
Logistic Regession: Features: 44 Accuracy: 0.8,Logistic Regession: Features: 39 Accuracy: 0.77,Logistic Regession: Features: 47 Accuracy: 0.6,Logistic Regession: Features: 39 Accuracy: 0.71,Logistic Regression: 0.26241600000000004,
Random Forest: Features: 47 Accuracy: 0.75,Random Forest: Features: 47 Accuracy: 0.8,Random Forest: Features: 44 Accuracy: 0.79,Random Forest: Features: 39 Accuracy: 0.7,Random Forest: 0.33180000000000004,
Naive Bays: Features: 48 Accuracy: 0.73,Naive Bays: Features: 47 Accuracy: 0.76,Naive Bays: Features: 44 Accuracy: 0.6,Naive Bays: Features: 39 Accuracy: 0.71,Naive Bays: 0.23634479999999997,
