_I_E_,_N_S_,_T_F_,_J_P_,Best in Class:
,,,,"('Decision Tree:', 0.32917500000000005)"
,,,,"('Logistic Regression:', 0.33250152)"
,,,,"('Random Forest:', 0.41964156)"
,,,,"('Naive Bays:', 0.3417568)"
,,,,"('Overall', 0.43040160000000005)"
