_I_E_,_N_S_,_T_F_,_J_P_,Best in Class:,Overall Best
Decision Tree: Features: 31 Accuracy: 0.72,Decision Tree: Features: 6 Accuracy: 0.71,Decision Tree: Features: 47 Accuracy: 0.76,Decision Tree: Features: 21 Accuracy: 0.7,Decision Tree: 0.27195839999999993,0.36996648000000004
Logistic Regession: Features: 20 Accuracy: 0.68,Logistic Regession: Features: 42 Accuracy: 0.76,Logistic Regession: Features: 39 Accuracy: 0.72,Logistic Regession: Features: 31 Accuracy: 0.74,Logistic Regression: 0.27535104000000005,
Random Forest: Features: 43 Accuracy: 0.76,Random Forest: Features: 36 Accuracy: 0.78,Random Forest: Features: 42 Accuracy: 0.78,Random Forest: Features: 44 Accuracy: 0.79,Random Forest: 0.36528336000000006,
Naive Bays: Features: 44 Accuracy: 0.73,Naive Bays: Features: 39 Accuracy: 0.79,Naive Bays: Features: 47 Accuracy: 0.49,Naive Bays: Features: 47 Accuracy: 0.77,Naive Bays: 0.21758891,
